x1;y1;x2;y2;dominant_hsv_color;dist_A;dist_B;FrameID;TrackID;session_id;min_dist;threshold;team_assignment;team_box_color;total_team_A;total_team_B;center_x;center_y;avg_x;avg_y
1606;585;1660;701;[     108.65       203.3      144.57];89.66;177.26;625;756;1;89.66;108.82;A;(255, 0, 0);3;6;1633;643;1171.67;585.0
1181;595;1250;719;[     100.72      33.279      237.67];140.26;17.63;625;765;1;17.63;108.82;B;(0, 255, 0);3;6;1215;657;1016.67;593.17
1509;531;1574;653;[     101.51      40.646      225.96];126.45;10.95;625;801;1;10.95;108.82;B;(0, 255, 0);3;6;1541;592;1016.67;593.17
679;600;736;715;[     105.06      40.547      232.63];131.94;8.44;626;723;1;8.44;108.85;B;(0, 255, 0);4;5;707;657;1077.8;588.4
822;514;880;629;[     99.183       35.39      238.79];139.97;16.86;626;725;1;16.86;108.85;B;(0, 255, 0);4;5;851;571;1077.8;588.4
694;557;760;659;[     109.68      201.26      138.24];86.53;178.73;626;726;1;86.53;108.85;A;(255, 0, 0);4;5;727;608;1064.75;590.25
1688;583;1743;697;[     173.62      203.03      177.05];123.75;176.85;626;727;1;123.75;108.85;X;(0, 0, 255);4;5;1715;640;1715.0;640.0
1046;420;1090;518;[     95.977      30.446      247.55];150.09;26.51;626;728;1;26.51;108.85;B;(0, 255, 0);4;5;1068;469;1077.8;588.4
497;632;560;760;[     109.36      204.15      104.01];90.63;200.96;626;730;1;90.63;108.85;A;(255, 0, 0);4;5;528;696;1064.75;590.25
1338;378;1389;453;[     103.93      190.03      89.782];81.68;200.06;626;731;1;81.68;108.85;A;(255, 0, 0);4;5;1363;415;1064.75;590.25
1614;584;1669;700;[     108.93      200.71      140.85];86.38;176.9;626;756;1;86.38;108.85;A;(255, 0, 0);4;5;1641;642;1064.75;590.25
1187;593;1255;716;[     100.81      34.413      236.39];138.55;16.17;626;765;1;16.17;108.85;B;(0, 255, 0);4;5;1221;654;1077.8;588.4
1509;531;1575;651;[     102.84       41.17      226.56];126.62;9.71;626;801;1;9.71;108.85;B;(0, 255, 0);4;5;1542;591;1077.8;588.4
690;604;746;712;[     101.77      40.758       232.2];131.44;9.27;627;723;1;9.27;110.35;B;(0, 255, 0);3;6;718;658;1022.67;591.5
825;514;883;629;[     97.772      35.248      236.37];138.13;16.75;627;725;1;16.75;110.35;B;(0, 255, 0);3;6;854;571;1022.67;591.5
690;556;759;663;[     100.82      45.738      234.97];130.99;7.2;627;726;1;7.2;110.35;B;(0, 255, 0);3;6;724;609;1022.67;591.5
1693;581;1751;699;[     173.76      205.12      175.29];124.58;179.28;627;727;1;124.58;110.35;X;(0, 0, 255);3;6;1722;640;1722.0;640.0
1050;419;1096;520;[     94.571      30.183       248.8];151.34;28.02;627;728;1;28.02;110.35;B;(0, 255, 0);3;6;1073;469;1022.67;591.5
501;630;564;756;[     78.912      94.216      136.83];34.76;108.48;627;730;1;34.76;110.35;A;(255, 0, 0);3;6;532;693;1183.67;582.33
1344;379;1396;452;[     103.04      203.67      93.294];92.96;207.56;627;731;1;92.96;110.35;A;(255, 0, 0);3;6;1370;415;1183.67;582.33
1622;582;1676;697;[     109.32      197.73      158.84];88.78;165.71;627;756;1;88.78;110.35;A;(255, 0, 0);3;6;1649;639;1183.67;582.33
1192;592;1258;708;[     98.126      33.453      239.33];141.56;19.09;627;765;1;19.09;110.35;B;(0, 255, 0);3;6;1225;650;1022.67;591.5
1508;533;1576;651;[     102.68      42.078      227.76];127.06;8.49;627;801;1;8.49;110.35;B;(0, 255, 0);3;6;1542;592;1022.67;591.5
693;604;748;710;[     102.78      41.697      233.18];131.71;8.12;628;723;1;8.12;115.67;B;(0, 255, 0);3;5;720;657;1084.8;588.2
825;513;885;629;[     98.872      35.785      237.44];138.65;16.14;628;725;1;16.14;115.67;B;(0, 255, 0);3;5;855;571;1084.8;588.2
1697;579;1754;690;[     173.55      204.89      174.56];124.0;179.23;628;727;1;124.0;115.67;X;(0, 0, 255);3;5;1725;634;1725.0;634.0
1056;420;1104;523;[     95.924      32.916       246.7];148.0;24.34;628;728;1;24.34;115.67;B;(0, 255, 0);3;5;1080;471;1084.8;588.2
504;629;566;750;[     111.14      217.66      108.39];103.16;209.0;628;730;1;103.16;115.67;A;(255, 0, 0);3;5;535;689;1186.67;581.0
1346;379;1399;452;[      95.25      74.642      163.74];57.6;73.32;628;731;1;57.6;115.67;A;(255, 0, 0);3;5;1372;415;1186.67;581.0
1626;582;1681;697;[     109.43      204.45       153.2];93.12;174.24;628;756;1;93.12;115.67;A;(255, 0, 0);3;5;1653;639;1186.67;581.0
1194;592;1259;705;[     98.257      33.961      239.53];141.42;18.71;628;765;1;18.71;115.67;B;(0, 255, 0);3;5;1226;648;1084.8;588.2
1508;534;1578;654;[     101.18       40.09         228];128.43;10.69;628;801;1;10.69;115.67;B;(0, 255, 0);3;5;1543;594;1084.8;588.2
692;598;750;705;[     105.16      43.524      230.83];128.76;5.44;629;723;1;5.44;117.62;B;(0, 255, 0);4;5;721;651;1086.4;587.8
826;513;887;628;[     97.526      37.721      237.69];137.79;15.45;629;725;1;15.45;117.62;B;(0, 255, 0);4;5;856;570;1086.4;587.8
